TIMESTAMP,TRACKED_PERSONS_COUNT,PLAYER_COUNT,LANE_1_ACTIVE,LANE_1_LEFT_HAND_X,LANE_1_LEFT_HAND_Y,LANE_1_RIGHT_HAND_X,LANE_1_RIGHT_HAND_Y,LANE_2_ACTIVE,LANE_2_LEFT_HAND_X,LANE_2_LEFT_HAND_Y,LANE_2_RIGHT_HAND_X,LANE_2_RIGHT_HAND_Y,LANE_3_ACTIVE,LANE_3_LEFT_HAND_X,LANE_3_LEFT_HAND_Y,LANE_3_RIGHT_HAND_X,LANE_3_RIGHT_HAND_Y,LANE_4_ACTIVE,LANE_4_LEFT_HAND_X,LANE_4_LEFT_HAND_Y,LANE_4_RIGHT_HAND_X,LANE_4_RIGHT_HAND_Y
1579529039671,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039675,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039677,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039681,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039684,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039685,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039688,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039691,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039697,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039700,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039703,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039706,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039708,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039711,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039714,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039716,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039720,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039723,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039726,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039728,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039731,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039733,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039734,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039738,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039740,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039742,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039743,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039745,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039749,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039752,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039755,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039758,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039760,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039762,1,0,false,,,,,false,,,,,false,,,,,false,,,,
1579529039765,1,0,false,,,,,false,,,,,false,,,,,false,,,,
